Kraj,Okres,Cluster,Simulated_Unemployment,GradientBoosting_Prediction,RandomForest_Prediction,AdaBoost_Prediction,Real_Unemployment
hlavnimestopraha,hlavnimestopraha,0,3.1,3.096302087941383,3.3597530344839925,3.0638899214557958,3.1
jihoceskykraj,ceskebudejovice,1,2.6083781839300637,2.626027656838828,3.092756040722068,2.854221787257266,2.4
jihoceskykraj,ceskykrumlov,2,2.5782239180368527,2.6049731327431354,2.782067576846408,3.0138233767547162,3.5
jihoceskykraj,jindrichuvhradec,0,2.5461211850031256,2.548165312110283,2.874176558393051,2.8776105855661367,2.0
jihoceskykraj,pisek,5,2.5548864513733593,2.59757599734412,2.678809918142757,2.90243601696517,2.4
jihoceskykraj,prachatice,6,2.5412331018058536,2.569671780427167,2.7445978049917183,3.004776019467951,2.4
jihoceskykraj,strakonice,4,2.7276075202623,2.72262469465696,2.827643799940479,2.8786832209634188,2.6
jihoceskykraj,tabor,3,2.6435496395884477,2.6693777270892878,3.000156006001634,2.898912203562554,3.1
jihomoravskykraj,blansko,6,4.05649866507343,4.0044268734711554,3.653593789186938,3.731628940513462,3.0
jihomoravskykraj,breclav,2,4.194581597203714,4.189633469222917,4.0179811939289864,3.9361596490017456,3.0
jihomoravskykraj,brno-mesto,0,3.981048834594752,3.986159295826344,4.027720182215322,3.8971162940393604,4.8
jihomoravskykraj,brno-venkov,3,4.039700898385364,4.021392378354789,3.6854323910099356,3.8877217316860064,3.0
jihomoravskykraj,hodonin,1,3.9615925681673048,3.9516161531014613,3.842098711736573,3.8156577566185073,4.8
jihomoravskykraj,vyskov,5,3.7798089056013287,3.775326622905175,3.6627731722337025,3.6521884082509035,2.5
jihomoravskykraj,znojmo,4,3.9867685309741083,3.929923422924206,3.6405738074951652,3.4697004868589727,4.5
karlovarskykraj,cheb,2,4.183966815385068,4.229521384178243,4.131931825589976,4.183966815385068,3.5
karlovarskykraj,karlovyvary,0,3.886539497412541,3.8588507543941923,3.717574620110466,3.51762364471107,4.8
karlovarskykraj,sokolov,1,3.9294936872023896,3.915470060457081,3.7058578756666467,3.629918689609082,5.2
krajvysocina,havlickuvbrod,2,2.7493065688378664,2.733869414995148,2.7769848156128076,2.854221787257266,2.7
krajvysocina,jihlava,0,2.820804579806287,2.8734870415778078,3.036609878041256,2.90243601696517,2.6
krajvysocina,pelhrimov,4,2.6698018967418635,2.7262761488353218,2.8681721275283394,2.9005786156640005,1.9
krajvysocina,trebic,1,2.8983764258749085,2.8874019644092375,2.9746405066497177,2.991898241988038,3.5
krajvysocina,zdarnadsazavou,3,2.861710528739074,2.8340463003261793,3.0618087108959418,2.8672970497073966,3.1
kralovehradeckykraj,hradeckralove,1,3.040348967904519,3.0255223965485785,3.0680713564873554,2.898912203562554,2.9
kralovehradeckykraj,jicin,0,2.9895909391746085,2.9760618263066396,3.033054600394409,2.90243601696517,1.8
kralovehradeckykraj,nachod,2,2.680353590461822,2.7345946403236385,2.8819941103554716,3.004776019467951,3.4
kralovehradeckykraj,rychnovnadkneznou,4,2.976331385186833,2.9772725272765515,2.99736773419955,3.067535129351609,1.8
kralovehradeckykraj,trutnov,3,2.813375117272218,2.844614510763706,3.0093782578099604,3.046910235489857,3.1
libereckykraj,ceskalipa,2,3.7183678822526423,3.7347584733993324,3.6037818575553295,3.3825874323806455,2.9
libereckykraj,jablonecnadnisou,0,3.4931915864727126,3.456928011183332,3.3773189202280802,3.0676776435070376,3.9
libereckykraj,liberec,1,3.7358121460239677,3.710608942182713,3.611513373406093,3.51762364471107,4.3
libereckykraj,semily,3,3.8526283852506777,3.81831215896119,3.6112486328327424,3.51762364471107,3.7
moravskoslezskykraj,bruntal,2,4.99244113467002,4.944878855273305,4.4231258786268945,4.943559359206243,5.7
